Source,Target
tt0048545,tt0049261
tt0048028,tt0049261
tt0055031,tt0051201
tt0050825,tt0046672
tt0050825,tt0080736
tt0050825,tt0043338
tt0050825,tt0054331
tt0046672,tt0080736
tt0046672,tt0043338
tt0046672,tt0054331
tt0080736,tt0043338
tt0080736,tt0054331
tt0043338,tt0054331
tt0071129,tt0050783
tt0071129,tt0056801
tt0071129,tt0047528
tt0071129,tt0053779
tt0050783,tt0056801
tt0050783,tt0047528
tt0050783,tt0053779
tt0056801,tt0047528
tt0056801,tt0053779
tt0047528,tt0053779
tt0050083,tt0051207
tt0050083,tt0064116
tt0050083,tt0056197
tt0050083,tt0082846
tt0050083,tt0070215
tt0051207,tt0064116
tt0051207,tt0056197
tt0051207,tt0082846
tt0051207,tt0070215
tt0064116,tt0056197
tt0064116,tt0082846
tt0064116,tt0070215
tt0056197,tt0082846
tt0056197,tt0070215
tt0082846,tt0070215
tt0083987,tt0082031
tt0083987,tt0080678
tt0082031,tt0080678
tt0048728,tt0056923
tt0048728,tt0053125
tt0048728,tt0050105
tt0056923,tt0053125
tt0056923,tt0050105
tt0053125,tt0050105
tt0050212,tt0056172
tt0050212,tt0048281
tt0050212,tt0074937
tt0050212,tt0076759
tt0056172,tt0048281
tt0056172,tt0074937
tt0056172,tt0076759
tt0048281,tt0074937
tt0048281,tt0076759
tt0074937,tt0076759
tt0054698,tt0047437
tt0054698,tt0058385
tt0054698,tt0056923
tt0054698,tt0046250
tt0054698,tt0062467
tt0054698,tt0050419
tt0054698,tt0060522
tt0047437,tt0058385
tt0047437,tt0056923
tt0047437,tt0046250
tt0047437,tt0062467
tt0047437,tt0050419
tt0047437,tt0060522
tt0058385,tt0056923
tt0058385,tt0046250
tt0058385,tt0062467
tt0058385,tt0050419
tt0058385,tt0060522
tt0056923,tt0046250
tt0056923,tt0062467
tt0056923,tt0050419
tt0056923,tt0060522
tt0046250,tt0062467
tt0046250,tt0050419
tt0046250,tt0060522
tt0062467,tt0050419
tt0062467,tt0060522
tt0050419,tt0060522
tt0082846,tt0043265
tt0082846,tt0061735
tt0082846,tt0063227
tt0043265,tt0061735
tt0043265,tt0063227
tt0061735,tt0063227
tt0070723,tt0052311
tt0070723,tt0063442
tt0070723,tt0052618
tt0070723,tt0049833
tt0070723,tt0067525
tt0052311,tt0063442
tt0052311,tt0052618
tt0052311,tt0049833
tt0052311,tt0067525
tt0063442,tt0052618
tt0063442,tt0049833
tt0063442,tt0067525
tt0052618,tt0049833
tt0052618,tt0067525
tt0049833,tt0067525
tt0047396,tt0052357
tt0047396,tt0048728
tt0047396,tt0053125
tt0047396,tt0048750
tt0047396,tt0068611
tt0047396,tt0074512
tt0047396,tt0046912
tt0047396,tt0056869
tt0047396,tt0044079
tt0047396,tt0054215
tt0047396,tt0061107
tt0047396,tt0051207
tt0047396,tt0058329
tt0047396,tt0049470
tt0052357,tt0048728
tt0052357,tt0053125
tt0052357,tt0048750
tt0052357,tt0068611
tt0052357,tt0074512
tt0052357,tt0046912
tt0052357,tt0056869
tt0052357,tt0044079
tt0052357,tt0054215
tt0052357,tt0061107
tt0052357,tt0051207
tt0052357,tt0058329
tt0052357,tt0049470
tt0048728,tt0053125
tt0048728,tt0048750
tt0048728,tt0068611
tt0048728,tt0074512
tt0048728,tt0046912
tt0048728,tt0056869
tt0048728,tt0044079
tt0048728,tt0054215
tt0048728,tt0061107
tt0048728,tt0051207
tt0048728,tt0058329
tt0048728,tt0049470
tt0053125,tt0048750
tt0053125,tt0068611
tt0053125,tt0074512
tt0053125,tt0046912
tt0053125,tt0056869
tt0053125,tt0044079
tt0053125,tt0054215
tt0053125,tt0061107
tt0053125,tt0051207
tt0053125,tt0058329
tt0053125,tt0049470
tt0048750,tt0068611
tt0048750,tt0074512
tt0048750,tt0046912
tt0048750,tt0056869
tt0048750,tt0044079
tt0048750,tt0054215
tt0048750,tt0061107
tt0048750,tt0051207
tt0048750,tt0058329
tt0048750,tt0049470
tt0068611,tt0074512
tt0068611,tt0046912
tt0068611,tt0056869
tt0068611,tt0044079
tt0068611,tt0054215
tt0068611,tt0061107
tt0068611,tt0051207
tt0068611,tt0058329
tt0068611,tt0049470
tt0074512,tt0046912
tt0074512,tt0056869
tt0074512,tt0044079
tt0074512,tt0054215
tt0074512,tt0061107
tt0074512,tt0051207
tt0074512,tt0058329
tt0074512,tt0049470
tt0046912,tt0056869
tt0046912,tt0044079
tt0046912,tt0054215
tt0046912,tt0061107
tt0046912,tt0051207
tt0046912,tt0058329
tt0046912,tt0049470
tt0056869,tt0044079
tt0056869,tt0054215
tt0056869,tt0061107
tt0056869,tt0051207
tt0056869,tt0058329
tt0056869,tt0049470
tt0044079,tt0054215
tt0044079,tt0061107
tt0044079,tt0051207
tt0044079,tt0058329
tt0044079,tt0049470
tt0054215,tt0061107
tt0054215,tt0051207
tt0054215,tt0058329
tt0054215,tt0049470
tt0061107,tt0051207
tt0061107,tt0058329
tt0061107,tt0049470
tt0051207,tt0058329
tt0051207,tt0049470
tt0058329,tt0049470
tt0072308,tt0047437
tt0072308,tt0046359
tt0072308,tt0050212
tt0072308,tt0074958
tt0072308,tt0077394
tt0072308,tt0043014
tt0072308,tt0065214
tt0047437,tt0046359
tt0047437,tt0050212
tt0047437,tt0074958
tt0047437,tt0077394
tt0047437,tt0043014
tt0047437,tt0065214
tt0046359,tt0050212
tt0046359,tt0074958
tt0046359,tt0077394
tt0046359,tt0043014
tt0046359,tt0065214
