,id,values,tconst,primaryTitle,averageRating
183,tt0218967,0.018402905436376724,tt0218967,The Family Man,6.8
184,tt0102057,0.018352601637945963,tt0102057,Hook,6.8
185,tt1935859,0.018343925959881692,tt1935859,Miss Peregrine's Home for Peculiar Children,6.7
186,tt0120587,0.018340459807704445,tt0120587,Antz,6.5
187,tt6320628,0.01824947135308111,tt6320628,Spider-Man: Far from Home,7.5
188,tt0120824,0.01822266898482677,tt0120824,The Shipping News,6.7
189,tt0963966,0.01814111172116319,tt0963966,The Sorcerer's Apprentice,6.1
190,tt0477348,0.01811950271203087,tt0477348,No Country for Old Men,8.1
191,tt0120749,0.018095360886494005,tt0120749,Mercury Rising,6.2
192,tt0292610,0.01805886846512328,tt0292610,No Good Deed,5.5
193,tt0116830,0.01804422847130622,tt0116830,Last Man Standing,6.4
194,tt0103874,0.01802272211516278,tt0103874,Bram Stoker's Dracula,7.4
195,tt0315297,0.017998102105723977,tt0315297,Twisted,5.3
196,tt0146984,0.017980925294378655,tt0146984,The Legend of Bagger Vance,6.7
197,tt5862166,0.017974597142910047,tt5862166,The Poison Rose,4.7
198,tt1214962,0.017946965105746098,tt1214962,Seeking Justice,6.2
199,tt0993846,0.01793621260761372,tt0993846,The Wolf of Wall Street,8.2
200,tt0763840,0.017911191594019243,tt0763840,Home of the Brave,5.6
201,tt3731562,0.017849091582640537,tt3731562,Kong: Skull Island,6.6
202,tt0120618,0.017848222119779746,tt0120618,Breakfast of Champions,4.6
203,tt0106519,0.017830231180542055,tt0106519,Carlito's Way,7.9
204,tt0115907,0.017741555084551712,tt0115907,City Hall,6.2
205,tt0190590,0.017733120502565678,tt0190590,"O Brother, Where Art Thou?",7.7
206,tt4694544,0.017722881899475792,tt4694544,Once Upon a Time in Venice,5.3
207,tt0458339,0.01771968236532722,tt0458339,Captain America: The First Avenger,6.9
208,tt0445946,0.017707356564432883,tt0445946,The Contract,5.6
209,tt0346491,0.01768170895411164,tt0346491,Alexander,5.6
210,tt0104438,0.017669092421597563,tt0104438,Honeymoon in Vegas,5.8
